Filename:        2021-05-02-06-54-45-529548
Command:         200, 1, 0.5

Val nDCG@10:     0.05795

Test nDCG@5:     0.03514 (0.00041)
Test nDCG@10:    0.04903 (0.00044)
Test nDCG@15:    0.05897 (0.00045)
Test nDCG@20:    0.06663 (0.00046)
Test nDCG@25:    0.07273 (0.00046)
Test nDCG@50:    0.09444 (0.00047)
Test nDCG@75:    0.10756 (0.00046)
Test nDCG@100:   0.11694 (0.00046)

Test Recall@5:   0.05732 (0.00062)
Test Recall@10:  0.10073 (0.00081)
Test Recall@15:  0.13838 (0.00093)
Test Recall@20:  0.17084 (0.00101)
Test Recall@25:  0.19875 (0.00107)
Test Recall@50:  0.31193 (0.00124)
Test Recall@75:  0.39027 (0.00131)
Test Recall@100: 0.45091 (0.00134)

