Reporting the nDCG & Recall for 'WMF' on 'ML-20M'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.05491  || 0.0330 | 0.0458 | 0.0547 | 0.0615 || 0.0530 | 0.0930 | 0.1269 | 0.1555 || 2021-02-13-23-31-11 || 2, 143, 0.01, 15
0.05489  || 0.0335 | 0.0462 | 0.0553 | 0.0621 || 0.0537 | 0.0934 | 0.1281 | 0.1568 || 2021-02-13-21-17-18 || 2, 137, 0.01, 15
0.05477  || 0.0334 | 0.0460 | 0.0553 | 0.0622 || 0.0537 | 0.0930 | 0.1283 | 0.1574 || 2021-02-13-20-54-41 || 2, 124, 0.01, 15
0.05475  || 0.0333 | 0.0462 | 0.0554 | 0.0623 || 0.0534 | 0.0940 | 0.1287 | 0.1578 || 2021-02-13-22-46-41 || 2, 112, 0.01, 15
0.05473  || 0.0331 | 0.0458 | 0.0549 | 0.0616 || 0.0533 | 0.0932 | 0.1275 | 0.1561 || 2021-02-13-22-12-31 || 2, 132, 0.01, 15
0.05462  || 0.0326 | 0.0454 | 0.0549 | 0.0618 || 0.0527 | 0.0927 | 0.1286 | 0.1577 || 2021-02-13-18-28-40 || 3, 146, 0.01, 15
0.05433  || 0.0328 | 0.0456 | 0.0546 | 0.0612 || 0.0526 | 0.0925 | 0.1263 | 0.1546 || 2021-02-13-19-47-46 || 2, 152, 0.01, 15
0.05426  || 0.0335 | 0.0462 | 0.0554 | 0.0623 || 0.0538 | 0.0936 | 0.1285 | 0.1577 || 2021-02-13-18-51-13 || 2, 100, 0.01, 15
0.05400  || 0.0319 | 0.0442 | 0.0527 | 0.0592 || 0.0515 | 0.0899 | 0.1220 | 0.1495 || 2021-02-13-18-39-35 || 2, 200, 0.01, 15
0.05254  || 0.0316 | 0.0442 | 0.0534 | 0.0606 || 0.0513 | 0.0907 | 0.1253 | 0.1559 || 2021-02-13-21-05-50 || 8, 200, 0.01, 15
0.05099  || 0.0311 | 0.0438 | 0.0530 | 0.0603 || 0.0505 | 0.0901 | 0.1250 | 0.1558 || 2021-02-13-22-35-23 || 9, 177, 0.01, 15
0.05034  || 0.0309 | 0.0437 | 0.0527 | 0.0598 || 0.0505 | 0.0905 | 0.1247 | 0.1547 || 2021-02-13-19-36-23 || 6, 100, 0.01, 15
0.04821  || 0.0291 | 0.0411 | 0.0497 | 0.0567 || 0.0481 | 0.0856 | 0.1185 | 0.1479 || 2021-02-13-20-21-20 || 19, 200, 0.01, 15
0.04584  || 0.0281 | 0.0403 | 0.0490 | 0.0560 || 0.0463 | 0.0845 | 0.1174 | 0.1469 || 2021-02-13-19-14-39 || 13, 101, 0.01, 15
0.04526  || 0.0271 | 0.0393 | 0.0480 | 0.0551 || 0.0450 | 0.0831 | 0.1159 | 0.1459 || 2021-02-13-23-08-52 || 17, 130, 0.01, 15
0.04398  || 0.0262 | 0.0382 | 0.0469 | 0.0539 || 0.0435 | 0.0810 | 0.1140 | 0.1436 || 2021-02-13-17-54-51 || 25, 159, 0.01, 15
0.04392  || 0.0257 | 0.0376 | 0.0461 | 0.0532 || 0.0428 | 0.0800 | 0.1123 | 0.1421 || 2021-02-13-18-06-16 || 32, 180, 0.01, 15
0.04333  || 0.0257 | 0.0373 | 0.0458 | 0.0525 || 0.0428 | 0.0790 | 0.1111 | 0.1395 || 2021-02-13-20-32-14 || 38, 200, 0.01, 15
0.04136  || 0.0246 | 0.0358 | 0.0441 | 0.0507 || 0.0410 | 0.0761 | 0.1074 | 0.1354 || 2021-02-13-20-43-44 || 50, 200, 0.01, 15
0.04035  || 0.0234 | 0.0348 | 0.0428 | 0.0495 || 0.0393 | 0.0751 | 0.1053 | 0.1338 || 2021-02-13-23-53-51 || 47, 173, 0.01, 15
0.04014  || 0.0241 | 0.0354 | 0.0438 | 0.0507 || 0.0400 | 0.0752 | 0.1071 | 0.1363 || 2021-02-13-21-50-38 || 28, 101, 0.01, 15
0.03952  || 0.0236 | 0.0347 | 0.0431 | 0.0500 || 0.0391 | 0.0739 | 0.1059 | 0.1352 || 2021-02-13-22-57-40 || 41, 144, 0.01, 15
0.03950  || 0.0233 | 0.0342 | 0.0421 | 0.0487 || 0.0390 | 0.0732 | 0.1032 | 0.1308 || 2021-02-13-20-10-06 || 66, 200, 0.01, 15
0.03818  || 0.0216 | 0.0326 | 0.0404 | 0.0468 || 0.0369 | 0.0710 | 0.1008 | 0.1279 || 2021-02-13-21-28-18 || 83, 199, 0.01, 15
0.03756  || 0.0217 | 0.0325 | 0.0405 | 0.0470 || 0.0368 | 0.0704 | 0.1008 | 0.1283 || 2021-02-13-22-24-23 || 63, 164, 0.01, 15
0.03643  || 0.0214 | 0.0318 | 0.0394 | 0.0456 || 0.0358 | 0.0683 | 0.0973 | 0.1234 || 2021-02-13-19-03-08 || 100, 200, 0.01, 15
0.03609  || 0.0214 | 0.0318 | 0.0398 | 0.0465 || 0.0361 | 0.0686 | 0.0992 | 0.1275 || 2021-02-13-19-25-53 || 44, 100, 0.01, 15
0.03607  || 0.0207 | 0.0314 | 0.0394 | 0.0460 || 0.0349 | 0.0683 | 0.0988 | 0.1266 || 2021-02-13-23-42-46 || 78, 163, 0.01, 15
0.03514  || 0.0207 | 0.0311 | 0.0390 | 0.0456 || 0.0350 | 0.0674 | 0.0973 | 0.1254 || 2021-02-13-17-43-40 || 57, 121, 0.01, 15
0.03470  || 0.0202 | 0.0303 | 0.0382 | 0.0445 || 0.0344 | 0.0663 | 0.0959 | 0.1227 || 2021-02-13-22-01-30 || 93, 155, 0.01, 15
0.03285  || 0.0191 | 0.0291 | 0.0366 | 0.0430 || 0.0326 | 0.0637 | 0.0922 | 0.1194 || 2021-02-13-23-20-12 || 66, 100, 0.01, 15
0.03273  || 0.0190 | 0.0289 | 0.0365 | 0.0431 || 0.0325 | 0.0633 | 0.0921 | 0.1201 || 2021-02-13-18-17-23 || 75, 116, 0.01, 15
0.03206  || 0.0182 | 0.0281 | 0.0357 | 0.0420 || 0.0312 | 0.0622 | 0.0911 | 0.1177 || 2021-02-14-00-05-10 || 100, 134, 0.01, 15
0.03050  || 0.0177 | 0.0272 | 0.0347 | 0.0409 || 0.0300 | 0.0598 | 0.0882 | 0.1148 || 2021-02-13-19-58-56 || 88, 102, 0.01, 15
0.02951  || 0.0173 | 0.0265 | 0.0338 | 0.0397 || 0.0297 | 0.0583 | 0.0862 | 0.1111 || 2021-02-13-21-39-27 || 100, 101, 0.01, 15
