Reporting the nDCG & Recall for 'ItemKNNCF' on 'Yahoo! R4'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.22019  || 0.1863 | 0.2192 | 0.2376 | 0.2478 || 0.2660 | 0.3684 | 0.4381 | 0.4808 || 2021-02-12-17-43-39 || 106, 5, cosine, True, none
0.22009  || 0.1872 | 0.2199 | 0.2382 | 0.2491 || 0.2669 | 0.3684 | 0.4382 | 0.4839 || 2021-02-12-17-42-50 || 181, 5, cosine, True, none
0.21859  || 0.1871 | 0.2200 | 0.2380 | 0.2490 || 0.2669 | 0.3692 | 0.4375 | 0.4841 || 2021-02-12-17-43-23 || 237, 5, cosine, True, none
0.21839  || 0.1863 | 0.2179 | 0.2360 | 0.2475 || 0.2663 | 0.3643 | 0.4325 | 0.4812 || 2021-02-12-17-41-14 || 371, 5, cosine, True, none
0.21838  || 0.1858 | 0.2177 | 0.2360 | 0.2475 || 0.2655 | 0.3646 | 0.4337 | 0.4820 || 2021-02-12-17-40-24 || 366, 5, cosine, True, none
0.21830  || 0.1863 | 0.2178 | 0.2360 | 0.2475 || 0.2660 | 0.3639 | 0.4325 | 0.4811 || 2021-02-12-17-42-05 || 374, 5, cosine, True, none
0.21772  || 0.1860 | 0.2178 | 0.2359 | 0.2471 || 0.2657 | 0.3644 | 0.4331 | 0.4803 || 2021-02-12-17-36-45 || 423, 5, cosine, True, none
0.21770  || 0.1868 | 0.2184 | 0.2373 | 0.2481 || 0.2664 | 0.3642 | 0.4357 | 0.4815 || 2021-02-12-17-38-56 || 315, 5, cosine, True, none
0.21670  || 0.1851 | 0.2169 | 0.2350 | 0.2467 || 0.2640 | 0.3627 | 0.4315 | 0.4810 || 2021-02-12-17-35-00 || 527, 5, cosine, True, none
0.21669  || 0.1850 | 0.2172 | 0.2352 | 0.2464 || 0.2638 | 0.3636 | 0.4318 | 0.4789 || 2021-02-12-17-42-29 || 848, 5, cosine, True, none
0.21624  || 0.1857 | 0.2172 | 0.2355 | 0.2461 || 0.2651 | 0.3626 | 0.4319 | 0.4766 || 2021-02-12-17-44-14 || 912, 5, cosine, True, none
0.21616  || 0.1850 | 0.2168 | 0.2349 | 0.2463 || 0.2635 | 0.3623 | 0.4311 | 0.4791 || 2021-02-12-17-44-37 || 623, 5, cosine, True, none
0.21604  || 0.1847 | 0.2167 | 0.2344 | 0.2460 || 0.2642 | 0.3634 | 0.4303 | 0.4791 || 2021-02-12-17-36-19 || 723, 5, cosine, True, none
0.21509  || 0.1833 | 0.2146 | 0.2325 | 0.2432 || 0.2622 | 0.3594 | 0.4270 | 0.4719 || 2021-02-12-17-35-23 || 971, 14, cosine, True, none
0.20346  || 0.1661 | 0.1992 | 0.2176 | 0.2297 || 0.2413 | 0.3437 | 0.4137 | 0.4647 || 2021-02-12-17-33-50 || 5, 91, cosine, True, none
0.19917  || 0.1668 | 0.1974 | 0.2141 | 0.2248 || 0.2424 | 0.3375 | 0.4008 | 0.4459 || 2021-02-12-17-37-12 || 344, 318, cosine, True, none
0.19629  || 0.1593 | 0.1902 | 0.2073 | 0.2194 || 0.2315 | 0.3268 | 0.3920 | 0.4430 || 2021-02-12-17-39-21 || 8, 597, cosine, True, none
0.19531  || 0.1629 | 0.1930 | 0.2099 | 0.2207 || 0.2379 | 0.3314 | 0.3951 | 0.4408 || 2021-02-12-17-40-47 || 688, 373, cosine, True, none
0.19425  || 0.1579 | 0.1895 | 0.2066 | 0.2172 || 0.2311 | 0.3290 | 0.3941 | 0.4390 || 2021-02-12-17-38-39 || 11, 992, cosine, True, none
0.19328  || 0.1612 | 0.1906 | 0.2079 | 0.2186 || 0.2367 | 0.3281 | 0.3933 | 0.4386 || 2021-02-12-17-34-13 || 1000, 411, cosine, True, none
0.19220  || 0.1588 | 0.1895 | 0.2068 | 0.2176 || 0.2332 | 0.3283 | 0.3937 | 0.4392 || 2021-02-12-17-43-07 || 166, 662, cosine, True, none
0.18251  || 0.1493 | 0.1796 | 0.1976 | 0.2086 || 0.2210 | 0.3151 | 0.3833 | 0.4298 || 2021-02-12-17-34-40 || 418, 995, cosine, True, none
0.18186  || 0.1494 | 0.1794 | 0.1973 | 0.2087 || 0.2206 | 0.3138 | 0.3812 | 0.4298 || 2021-02-12-17-44-56 || 580, 988, cosine, True, none
0.18041  || 0.1486 | 0.1783 | 0.1965 | 0.2073 || 0.2202 | 0.3125 | 0.3808 | 0.4268 || 2021-02-12-17-43-52 || 813, 1000, cosine, True, none
0.18012  || 0.1482 | 0.1780 | 0.1963 | 0.2069 || 0.2195 | 0.3121 | 0.3811 | 0.4260 || 2021-02-12-17-38-05 || 987, 994, cosine, True, none
0.17413  || 0.1414 | 0.1708 | 0.1885 | 0.2001 || 0.2100 | 0.3009 | 0.3677 | 0.4171 || 2021-02-12-17-37-38 || 35, 994, cosine, False, none
0.16922  || 0.1361 | 0.1651 | 0.1836 | 0.1952 || 0.2025 | 0.2928 | 0.3629 | 0.4119 || 2021-02-12-17-32-32 || 100, 366, cosine, False, none
0.16756  || 0.1353 | 0.1622 | 0.1794 | 0.1901 || 0.2005 | 0.2837 | 0.3493 | 0.3946 || 2021-02-12-17-39-39 || 5, 7, cosine, False, none
0.16477  || 0.1332 | 0.1619 | 0.1809 | 0.1920 || 0.1979 | 0.2873 | 0.3592 | 0.4060 || 2021-02-12-17-33-25 || 373, 478, cosine, False, none
0.16424  || 0.1332 | 0.1617 | 0.1805 | 0.1916 || 0.1976 | 0.2863 | 0.3577 | 0.4046 || 2021-02-12-17-39-59 || 516, 997, cosine, False, none
0.16409  || 0.1330 | 0.1616 | 0.1804 | 0.1914 || 0.1974 | 0.2863 | 0.3575 | 0.4042 || 2021-02-12-17-31-40 || 563, 217, cosine, False, none
0.16402  || 0.1330 | 0.1615 | 0.1803 | 0.1914 || 0.1972 | 0.2861 | 0.3575 | 0.4043 || 2021-02-12-17-32-10 || 594, 338, cosine, False, none
0.16386  || 0.1326 | 0.1611 | 0.1798 | 0.1909 || 0.1970 | 0.2861 | 0.3567 | 0.4038 || 2021-02-12-17-32-57 || 791, 10, cosine, False, none
0.16347  || 0.1324 | 0.1610 | 0.1797 | 0.1909 || 0.1965 | 0.2858 | 0.3566 | 0.4038 || 2021-02-12-17-35-51 || 985, 998, cosine, False, none
0.16344  || 0.1324 | 0.1610 | 0.1798 | 0.1908 || 0.1965 | 0.2858 | 0.3567 | 0.4034 || 2021-02-12-17-41-33 || 997, 392, cosine, False, none
