Filename:        2021-05-01-15-50-14-566306
Command:         200, 1, 1.0

Val nDCG@10:     0.23681

Test nDCG@5:     0.18836 (0.00380)
Test nDCG@10:    0.22460 (0.00374)
Test nDCG@15:    0.24381 (0.00367)
Test nDCG@20:    0.25513 (0.00362)
Test nDCG@25:    0.26344 (0.00357)
Test nDCG@50:    0.28333 (0.00344)
Test nDCG@75:    0.29176 (0.00338)
Test nDCG@100:   0.29719 (0.00333)

Test Recall@5:   0.27507 (0.00512)
Test Recall@10:  0.38753 (0.00558)
Test Recall@15:  0.45997 (0.00571)
Test Recall@20:  0.50787 (0.00573)
Test Recall@25:  0.54580 (0.00570)
Test Recall@50:  0.64869 (0.00547)
Test Recall@75:  0.69895 (0.00525)
Test Recall@100: 0.73399 (0.00506)

