Reporting the nDCG & Recall for 'RP3beta' on 'Yahoo! R4'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, alpha, beta, normalize_similarity
0.23156  || 0.1947 | 0.2305 | 0.2481 | 0.2604 || 0.2786 | 0.3898 | 0.4564 | 0.5080 || 2021-02-12-17-56-27 || 146, 0.43746, 0.5438, True
0.22925  || 0.1923 | 0.2271 | 0.2453 | 0.2572 || 0.2762 | 0.3839 | 0.4526 | 0.5029 || 2021-02-12-17-52-38 || 261, 0.73662, 0.52124, True
0.22849  || 0.1923 | 0.2263 | 0.2440 | 0.2565 || 0.2760 | 0.3814 | 0.4483 | 0.5010 || 2021-02-12-17-58-28 || 173, 0.84484, 0.51963, True
0.22622  || 0.1869 | 0.2234 | 0.2405 | 0.2534 || 0.2697 | 0.3828 | 0.4472 | 0.5021 || 2021-02-12-17-47-41 || 214, 1.06692, 0.61726, True
0.22300  || 0.1871 | 0.2214 | 0.2391 | 0.2515 || 0.2718 | 0.3781 | 0.4453 | 0.4978 || 2021-02-12-17-49-28 || 428, 0.98603, 0.47662, True
0.22209  || 0.1875 | 0.2206 | 0.2391 | 0.2509 || 0.2718 | 0.3745 | 0.4449 | 0.4944 || 2021-02-12-17-51-40 || 157, 0.66921, 0.37732, True
0.22090  || 0.1883 | 0.2220 | 0.2401 | 0.2512 || 0.2692 | 0.3732 | 0.4415 | 0.4889 || 2021-02-12-17-50-19 || 268, 0, 0.53908, True
0.21526  || 0.1792 | 0.2128 | 0.2314 | 0.2433 || 0.2619 | 0.3656 | 0.4361 | 0.4866 || 2021-02-12-17-55-33 || 310, 1.24988, 0.33427, True
0.21215  || 0.1760 | 0.2101 | 0.2284 | 0.2410 || 0.2560 | 0.3612 | 0.4304 | 0.4839 || 2021-02-12-17-57-14 || 742, 1.59639, 0.45302, True
0.20974  || 0.1759 | 0.2101 | 0.2272 | 0.2389 || 0.2574 | 0.3635 | 0.4284 | 0.4777 || 2021-02-12-17-53-38 || 235, 2, 0.46623, True
0.20958  || 0.1758 | 0.2087 | 0.2268 | 0.2381 || 0.2550 | 0.3574 | 0.4257 | 0.4731 || 2021-02-12-17-48-48 || 1000, 0, 0.37083, True
0.20885  || 0.1762 | 0.2090 | 0.2268 | 0.2380 || 0.2559 | 0.3579 | 0.4252 | 0.4723 || 2021-02-12-17-56-08 || 582, 0, 0.33857, True
