Reporting the nDCG & Recall for 'UserKNNCF' on 'Yahoo! R4'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || topK, shrink, similarity, normalize, feature_weighting
0.24183  || 0.2013 | 0.2358 | 0.2539 | 0.2646 || 0.2857 | 0.3923 | 0.4609 | 0.5059 || 2021-02-12-17-29-10 || 362, 5, cosine, True, none
0.24168  || 0.2020 | 0.2362 | 0.2546 | 0.2651 || 0.2862 | 0.3926 | 0.4619 | 0.5062 || 2021-02-12-17-30-49 || 369, 5, cosine, True, none
0.24155  || 0.2021 | 0.2360 | 0.2537 | 0.2644 || 0.2881 | 0.3929 | 0.4601 | 0.5050 || 2021-02-12-17-29-57 || 349, 5, cosine, True, none
0.24076  || 0.2010 | 0.2360 | 0.2540 | 0.2642 || 0.2858 | 0.3940 | 0.4622 | 0.5051 || 2021-02-12-17-21-30 || 404, 5, cosine, True, none
0.23957  || 0.2005 | 0.2355 | 0.2527 | 0.2629 || 0.2857 | 0.3938 | 0.4595 | 0.5024 || 2021-02-12-17-22-24 || 508, 5, cosine, True, none
0.23902  || 0.1991 | 0.2337 | 0.2513 | 0.2618 || 0.2845 | 0.3912 | 0.4579 | 0.5022 || 2021-02-12-17-31-10 || 593, 5, cosine, True, none
0.23602  || 0.1983 | 0.2308 | 0.2479 | 0.2576 || 0.2799 | 0.3798 | 0.4447 | 0.4854 || 2021-02-12-17-24-50 || 287, 15, cosine, True, none
0.23581  || 0.1981 | 0.2321 | 0.2492 | 0.2597 || 0.2847 | 0.3894 | 0.4546 | 0.4988 || 2021-02-12-17-19-01 || 698, 5, cosine, True, none
0.23536  || 0.1977 | 0.2318 | 0.2486 | 0.2591 || 0.2844 | 0.3899 | 0.4541 | 0.4980 || 2021-02-12-17-20-47 || 724, 5, cosine, True, none
0.23531  || 0.1973 | 0.2316 | 0.2485 | 0.2594 || 0.2836 | 0.3892 | 0.4534 | 0.4990 || 2021-02-12-17-20-20 || 760, 5, cosine, True, none
0.23176  || 0.1938 | 0.2284 | 0.2456 | 0.2556 || 0.2777 | 0.3848 | 0.4501 | 0.4921 || 2021-02-12-17-18-32 || 941, 9, cosine, True, none
0.23161  || 0.1921 | 0.2254 | 0.2423 | 0.2531 || 0.2730 | 0.3760 | 0.4402 | 0.4854 || 2021-02-12-17-18-04 || 826, 1000, cosine, True, none
0.23103  || 0.1923 | 0.2258 | 0.2422 | 0.2535 || 0.2724 | 0.3760 | 0.4387 | 0.4864 || 2021-02-12-17-29-30 || 803, 331, cosine, True, none
0.23098  || 0.1918 | 0.2269 | 0.2437 | 0.2544 || 0.2753 | 0.3836 | 0.4471 | 0.4923 || 2021-02-12-17-28-20 || 979, 5, cosine, True, none
0.23053  || 0.1946 | 0.2267 | 0.2430 | 0.2536 || 0.2785 | 0.3782 | 0.4404 | 0.4852 || 2021-02-12-17-25-24 || 738, 671, cosine, True, none
0.23051  || 0.1921 | 0.2243 | 0.2415 | 0.2527 || 0.2752 | 0.3744 | 0.4399 | 0.4866 || 2021-02-12-17-30-18 || 940, 680, cosine, True, none
0.23034  || 0.1925 | 0.2258 | 0.2434 | 0.2540 || 0.2769 | 0.3800 | 0.4469 | 0.4919 || 2021-02-12-17-27-03 || 999, 15, cosine, True, none
0.22996  || 0.1945 | 0.2259 | 0.2433 | 0.2539 || 0.2758 | 0.3731 | 0.4394 | 0.4837 || 2021-02-12-17-19-57 || 667, 1000, cosine, True, none
0.22827  || 0.1903 | 0.2232 | 0.2407 | 0.2515 || 0.2742 | 0.3759 | 0.4424 | 0.4878 || 2021-02-12-17-17-37 || 1000, 968, cosine, True, none
0.22545  || 0.1881 | 0.2212 | 0.2374 | 0.2477 || 0.2680 | 0.3701 | 0.4320 | 0.4752 || 2021-02-12-17-28-49 || 474, 318, cosine, True, none
0.22517  || 0.1887 | 0.2208 | 0.2380 | 0.2483 || 0.2706 | 0.3709 | 0.4358 | 0.4791 || 2021-02-12-17-26-23 || 995, 989, cosine, False, none
0.22515  || 0.1891 | 0.2213 | 0.2382 | 0.2489 || 0.2705 | 0.3718 | 0.4362 | 0.4802 || 2021-02-12-17-21-54 || 1000, 310, cosine, False, none
0.22504  || 0.1904 | 0.2210 | 0.2375 | 0.2487 || 0.2724 | 0.3672 | 0.4300 | 0.4769 || 2021-02-12-17-23-55 || 801, 1000, cosine, False, none
0.22489  || 0.1893 | 0.2215 | 0.2382 | 0.2483 || 0.2698 | 0.3690 | 0.4328 | 0.4747 || 2021-02-12-17-27-52 || 484, 972, cosine, True, none
0.22489  || 0.1890 | 0.2215 | 0.2382 | 0.2489 || 0.2702 | 0.3716 | 0.4358 | 0.4798 || 2021-02-12-17-19-28 || 999, 12, cosine, False, none
0.22455  || 0.1902 | 0.2217 | 0.2381 | 0.2491 || 0.2706 | 0.3673 | 0.4311 | 0.4769 || 2021-02-12-17-16-55 || 791, 10, cosine, False, none
0.22320  || 0.1868 | 0.2192 | 0.2361 | 0.2463 || 0.2655 | 0.3655 | 0.4298 | 0.4728 || 2021-02-12-17-23-25 || 441, 1000, cosine, True, none
0.21890  || 0.1832 | 0.2138 | 0.2310 | 0.2414 || 0.2625 | 0.3562 | 0.4218 | 0.4657 || 2021-02-12-17-16-18 || 594, 338, cosine, False, none
0.21575  || 0.1808 | 0.2119 | 0.2277 | 0.2383 || 0.2610 | 0.3580 | 0.4178 | 0.4621 || 2021-02-12-17-15-52 || 563, 217, cosine, False, none
0.21296  || 0.1779 | 0.2082 | 0.2247 | 0.2358 || 0.2552 | 0.3493 | 0.4119 | 0.4581 || 2021-02-12-17-25-59 || 506, 998, cosine, False, none
0.20259  || 0.1658 | 0.1953 | 0.2106 | 0.2203 || 0.2399 | 0.3307 | 0.3895 | 0.4298 || 2021-02-12-17-22-55 || 273, 979, cosine, True, none
0.20065  || 0.1638 | 0.1915 | 0.2072 | 0.2171 || 0.2374 | 0.3240 | 0.3828 | 0.4248 || 2021-02-12-17-17-17 || 373, 478, cosine, False, none
0.18698  || 0.1579 | 0.1840 | 0.1976 | 0.2060 || 0.2286 | 0.3113 | 0.3633 | 0.3976 || 2021-02-12-17-21-14 || 37, 5, cosine, True, none
0.11999  || 0.0943 | 0.1137 | 0.1249 | 0.1323 || 0.1362 | 0.1926 | 0.2336 | 0.2631 || 2021-02-12-17-16-42 || 100, 366, cosine, False, none
0.05488  || 0.0243 | 0.0565 | 0.0677 | 0.0813 || 0.0349 | 0.0996 | 0.1245 | 0.1601 || 2021-02-12-17-27-38 || 8, 987, cosine, True, none
