Reporting the nDCG & Recall for 'WMF' on 'Yahoo! R4'..
[# of results: 35]

Val nDCG ||             Test nDCG             ||            Test Recall            || (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻     (╯°□°)╯︵ ┻━┻
@ 10     || @ 5    | @ 10   | @ 15   | @ 20   || @ 5    | @ 10   | @ 15   | @ 20   || Filename            || confidence, factors, reg, iterations
0.19381  || 0.1564 | 0.1885 | 0.2035 | 0.2146 || 0.2323 | 0.3322 | 0.3887 | 0.4358 || 2021-02-12-18-19-23 || 38, 111, 0.01, 15
0.19251  || 0.1549 | 0.1868 | 0.2024 | 0.2136 || 0.2307 | 0.3297 | 0.3885 | 0.4362 || 2021-02-12-18-30-00 || 54, 111, 0.01, 15
0.19143  || 0.1589 | 0.1911 | 0.2079 | 0.2190 || 0.2379 | 0.3381 | 0.4014 | 0.4487 || 2021-02-12-18-25-13 || 28, 100, 0.01, 15
0.19035  || 0.1574 | 0.1902 | 0.2072 | 0.2174 || 0.2362 | 0.3377 | 0.4021 | 0.4453 || 2021-02-12-18-12-43 || 35, 100, 0.01, 15
0.18970  || 0.1561 | 0.1878 | 0.2039 | 0.2135 || 0.2314 | 0.3291 | 0.3899 | 0.4307 || 2021-02-12-18-14-59 || 40, 124, 0.01, 15
0.18921  || 0.1569 | 0.1895 | 0.2063 | 0.2168 || 0.2362 | 0.3371 | 0.4007 | 0.4454 || 2021-02-12-18-26-06 || 40, 100, 0.01, 15
0.18855  || 0.1560 | 0.1889 | 0.2062 | 0.2163 || 0.2344 | 0.3363 | 0.4018 | 0.4445 || 2021-02-12-18-15-50 || 43, 100, 0.01, 15
0.18806  || 0.1542 | 0.1880 | 0.2044 | 0.2152 || 0.2316 | 0.3362 | 0.3982 | 0.4442 || 2021-02-12-18-32-08 || 51, 100, 0.01, 15
0.18802  || 0.1538 | 0.1863 | 0.2029 | 0.2136 || 0.2274 | 0.3282 | 0.3911 | 0.4364 || 2021-02-12-18-24-23 || 37, 112, 0.01, 15
0.18756  || 0.1547 | 0.1840 | 0.2008 | 0.2113 || 0.2298 | 0.3210 | 0.3844 | 0.4286 || 2021-02-12-18-06-46 || 57, 115, 0.01, 15
0.18749  || 0.1542 | 0.1848 | 0.2021 | 0.2130 || 0.2278 | 0.3226 | 0.3879 | 0.4341 || 2021-02-12-18-17-20 || 32, 121, 0.01, 15
0.18746  || 0.1532 | 0.1873 | 0.2038 | 0.2148 || 0.2295 | 0.3350 | 0.3975 | 0.4441 || 2021-02-12-18-07-37 || 56, 100, 0.01, 15
0.18696  || 0.1527 | 0.1870 | 0.2036 | 0.2144 || 0.2282 | 0.3342 | 0.3972 | 0.4428 || 2021-02-12-18-27-05 || 60, 100, 0.01, 15
0.18645  || 0.1540 | 0.1844 | 0.1996 | 0.2103 || 0.2310 | 0.3253 | 0.3828 | 0.4279 || 2021-02-12-18-33-24 || 61, 113, 0.01, 15
0.18627  || 0.1515 | 0.1864 | 0.2026 | 0.2132 || 0.2266 | 0.3348 | 0.3961 | 0.4411 || 2021-02-12-18-08-31 || 64, 100, 0.01, 15
0.18566  || 0.1507 | 0.1822 | 0.1992 | 0.2100 || 0.2219 | 0.3197 | 0.3840 | 0.4297 || 2021-02-12-18-28-08 || 83, 112, 0.01, 15
0.18565  || 0.1522 | 0.1833 | 0.1990 | 0.2094 || 0.2273 | 0.3236 | 0.3828 | 0.4268 || 2021-02-12-17-59-15 || 57, 121, 0.01, 15
0.18548  || 0.1525 | 0.1824 | 0.1997 | 0.2100 || 0.2291 | 0.3213 | 0.3869 | 0.4306 || 2021-02-12-18-28-58 || 70, 110, 0.01, 15
0.18373  || 0.1482 | 0.1814 | 0.1994 | 0.2096 || 0.2231 | 0.3256 | 0.3934 | 0.4366 || 2021-02-12-18-18-02 || 86, 100, 0.01, 15
0.18154  || 0.1505 | 0.1819 | 0.1978 | 0.2078 || 0.2234 | 0.3206 | 0.3808 | 0.4228 || 2021-02-12-18-03-41 || 75, 116, 0.01, 15
0.18106  || 0.1467 | 0.1800 | 0.1977 | 0.2084 || 0.2217 | 0.3247 | 0.3917 | 0.4370 || 2021-02-12-18-09-22 || 100, 100, 0.01, 15
0.17963  || 0.1465 | 0.1768 | 0.1926 | 0.2031 || 0.2203 | 0.3140 | 0.3741 | 0.4185 || 2021-02-12-18-30-57 || 100, 126, 0.01, 15
0.17584  || 0.1402 | 0.1697 | 0.1868 | 0.1960 || 0.2104 | 0.3018 | 0.3667 | 0.4056 || 2021-02-12-18-16-32 || 100, 142, 0.01, 15
0.17435  || 0.1432 | 0.1698 | 0.1847 | 0.1951 || 0.2114 | 0.2937 | 0.3501 | 0.3940 || 2021-02-12-18-00-18 || 25, 159, 0.01, 15
0.17372  || 0.1442 | 0.1715 | 0.1866 | 0.1954 || 0.2117 | 0.2963 | 0.3537 | 0.3906 || 2021-02-12-18-20-38 || 83, 165, 0.01, 15
0.16689  || 0.1361 | 0.1631 | 0.1777 | 0.1878 || 0.1996 | 0.2835 | 0.3382 | 0.3810 || 2021-02-12-18-01-50 || 32, 180, 0.01, 15
0.16572  || 0.1363 | 0.1631 | 0.1771 | 0.1868 || 0.2004 | 0.2833 | 0.3365 | 0.3777 || 2021-02-12-18-22-25 || 82, 200, 0.01, 15
0.16511  || 0.1370 | 0.1636 | 0.1779 | 0.1875 || 0.2028 | 0.2853 | 0.3392 | 0.3800 || 2021-02-12-18-11-25 || 100, 200, 0.01, 15
0.16462  || 0.1361 | 0.1612 | 0.1755 | 0.1851 || 0.2003 | 0.2782 | 0.3326 | 0.3728 || 2021-02-12-18-05-59 || 65, 199, 0.01, 15
0.16457  || 0.1339 | 0.1595 | 0.1732 | 0.1821 || 0.1979 | 0.2772 | 0.3293 | 0.3668 || 2021-02-12-18-23-19 || 49, 199, 0.01, 15
0.15174  || 0.1243 | 0.1484 | 0.1629 | 0.1712 || 0.1822 | 0.2575 | 0.3125 | 0.3476 || 2021-02-12-18-21-27 || 15, 200, 0.01, 15
0.12224  || 0.0985 | 0.1178 | 0.1285 | 0.1359 || 0.1398 | 0.1999 | 0.2400 | 0.2715 || 2021-02-12-18-05-10 || 3, 146, 0.01, 15
0.11961  || 0.0954 | 0.1138 | 0.1248 | 0.1333 || 0.1382 | 0.1954 | 0.2367 | 0.2727 || 2021-02-12-18-13-50 || 2, 102, 0.01, 15
0.11509  || 0.0925 | 0.1105 | 0.1207 | 0.1274 || 0.1324 | 0.1881 | 0.2266 | 0.2551 || 2021-02-12-18-10-09 || 2, 112, 0.01, 15
0.11110  || 0.0910 | 0.1081 | 0.1180 | 0.1239 || 0.1274 | 0.1802 | 0.2178 | 0.2430 || 2021-02-12-18-34-37 || 2, 126, 0.01, 15
